experiment_id,repeat,model_algorithm,max_channels,selected_channels,channel_names,balance_method,add_time_features,add_stft_features,total_features_per_channel,total_features,core_chaos_features,time_domain_features,stft_features,n_train_samples,n_eval_samples,training_time_sec,roc_auc,accuracy,precision,sensitivity,specificity,f1_score,f_beta_score,fpr,true_positives,true_negatives,false_positives,false_negatives,train_class_imbalance_before,train_class_imbalance_after,performance_rank,feature_categories_used
EXP_001,0,Logistic Regression,3,"[0, 1, 2]","[Fp1, Fp2, F3]",none,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.039,0.354,0.363,0.213,0.417,0.339,0.282,0.350,0.661,10,19,37,14,"56:24 (2.33:1)","56:24 (2.33:1)",Poor,"Chaos + Time + STFT"
EXP_002,0,SVM (RBF),3,"[0, 1, 2]","[Fp1, Fp2, F3]",none,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.030,0.604,0.638,0.400,0.417,0.732,0.408,0.413,0.268,10,41,15,14,"56:24 (2.33:1)","56:24 (2.33:1)",Good,"Chaos + Time + STFT"
EXP_003,0,Random Forest,3,"[0, 1, 2]","[Fp1, Fp2, F3]",none,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.610,0.616,0.625,0.250,0.125,0.839,0.167,0.139,0.161,3,47,9,21,"56:24 (2.33:1)","56:24 (2.33:1)",Good,"Chaos + Time + STFT"
EXP_004,0,Gradient Boosting,3,"[0, 1, 2]","[Fp1, Fp2, F3]",none,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.346,0.590,0.663,0.452,0.583,0.696,0.509,0.551,0.304,14,39,17,10,"56:24 (2.33:1)","56:24 (2.33:1)",Good,"Chaos + Time + STFT"
EXP_005,0,K-Nearest Neighbors,3,"[0, 1, 2]","[Fp1, Fp2, F3]",none,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",80,80,0.180,0.563,0.625,0.364,0.333,0.750,0.348,0.339,0.250,8,42,14,16,"56:24 (2.33:1)","56:24 (2.33:1)",Moderate,"Chaos + Time + STFT"
EXP_006,0,Logistic Regression,3,"[0, 1, 2]","[Fp1, Fp2, F3]",oversample,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.025,0.394,0.338,0.216,0.458,0.286,0.293,0.374,0.714,11,16,40,13,"56:24 (2.33:1)","56:56 (1:1)",Poor,"Chaos + Time + STFT"
EXP_007,0,SVM (RBF),3,"[0, 1, 2]","[Fp1, Fp2, F3]",oversample,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.018,0.651,0.625,0.425,0.708,0.589,0.531,0.625,0.411,17,33,23,7,"56:24 (2.33:1)","56:56 (1:1)",Excellent,"Chaos + Time + STFT"
EXP_008,0,Random Forest,3,"[0, 1, 2]","[Fp1, Fp2, F3]",oversample,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.551,0.635,0.688,0.478,0.458,0.786,0.468,0.462,0.214,11,44,12,13,"56:24 (2.33:1)","56:56 (1:1)",Good,"Chaos + Time + STFT"
EXP_009,0,Gradient Boosting,3,"[0, 1, 2]","[Fp1, Fp2, F3]",oversample,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.319,0.604,0.638,0.368,0.292,0.786,0.326,0.304,0.214,7,44,12,17,"56:24 (2.33:1)","56:56 (1:1)",Good,"Chaos + Time + STFT"
EXP_010,0,K-Nearest Neighbors,3,"[0, 1, 2]","[Fp1, Fp2, F3]",oversample,True,True,21,63,"ch0_sampen,ch0_perm_ent,ch0_svd_ent,ch0_higuchi_fd,ch0_petrosian_fd,ch0_dfa,ch0_hurst,ch0_bp_delta,ch0_bp_theta,ch0_bp_alpha,ch0_bp_beta","ch0_mean,ch0_std,ch0_skew,ch0_kurt,ch0_ptp,ch0_rms","ch0_stft_bp_delta,ch0_stft_bp_theta,ch0_stft_bp_alpha,ch0_stft_bp_beta",112,80,0.017,0.593,0.588,0.371,0.542,0.607,0.441,0.496,0.393,13,34,22,11,"56:24 (2.33:1)","56:56 (1:1)",Moderate,"Chaos + Time + STFT"
